fecha,estacion,O3,NO2,PM25
2020-11-26 06:00:00,BJU,22.5243301392,21.3879394531,5.27992582321
2020-11-26 07:00:00,BJU,24.8772449493,18.1262607574,5.61304521561
2020-11-26 08:00:00,BJU,21.6105041504,20.3136024475,6.86631250381
2020-11-26 09:00:00,BJU,19.1052379608,21.977306366,7.75561857224
2020-11-26 10:00:00,BJU,17.7524871826,22.7272148132,8.74316215515
2020-11-26 11:00:00,BJU,10.9501810074,31.0132484436,10.12753582
2020-11-26 12:00:00,BJU,0.429488956928,44.5223770142,14.0573530197
2020-11-26 13:00:00,BJU,2.02635598183,47.8804359436,21.6891231537
2020-11-26 14:00:00,BJU,8.47392845154,47.2713851929,24.5833148956
2020-11-26 15:00:00,BJU,17.1897850037,44.1957168579,20.2335262299
2020-11-26 16:00:00,BJU,28.8164825439,39.744884491,15.859793663
2020-11-26 17:00:00,BJU,42.7769012451,34.0475692749,15.8428726196
2020-11-26 18:00:00,BJU,62.9764556885,41.1188850403,33.7454719543
2020-11-26 19:00:00,BJU,75.2478790283,27.6775550842,19.2171669006
2020-11-26 20:00:00,BJU,66.7567138672,17.0194702148,5.9618024826
2020-11-26 21:00:00,BJU,59.7920684814,14.3458995819,4.40853977203
2020-11-26 22:00:00,BJU,47.1347618103,14.100060463,4.18264627457
2020-11-26 23:00:00,BJU,34.7215003967,23.6949119568,4.779712677
2020-11-27 00:00:00,BJU,16.9750976562,39.8185424805,5.58485460281
2020-11-27 01:00:00,BJU,8.39842033386,68.9650344849,16.8276386261
2020-11-27 02:00:00,BJU,0.390929013491,81.186958313,21.9473114014
2020-11-27 03:00:00,BJU,0.832614481449,49.2376899719,11.8178834915
2020-11-27 04:00:00,BJU,6.82469177246,40.2097511292,8.57909107208
2020-11-27 05:00:00,BJU,13.5235033035,32.2470664978,7.59967660904
2020-11-25 06:00:00,CAM,2.06073045731,42.2152938843,20.7794513702
2020-11-25 07:00:00,CAM,10.0576953888,32.5045814514,19.2937602997
2020-11-25 08:00:00,CAM,11.7647123337,29.8210678101,20.2912979126
2020-11-25 09:00:00,CAM,11.7685813904,27.5153713226,19.8591899872
2020-11-25 10:00:00,CAM,3.5565302372,35.2317047119,22.7290267944
2020-11-25 11:00:00,CAM,0.323521435261,42.5828933716,29.4761066437
2020-11-25 12:00:00,CAM,0.0225936006755,49.3762893677,38.8444099426
2020-11-25 13:00:00,CAM,1.22330832481,56.3096466064,69.12890625
2020-11-25 14:00:00,CAM,6.6540017128,57.8777389526,71.5043258667
2020-11-25 15:00:00,CAM,16.9959506989,47.9134788513,45.6157836914
2020-11-25 16:00:00,CAM,30.4511470795,41.0913581848,29.7737998962
2020-11-25 17:00:00,CAM,50.067401886,37.6942214966,20.1336650848
2020-11-25 18:00:00,CAM,66.933883667,23.751953125,19.6368160248
2020-11-25 19:00:00,CAM,64.7781219482,10.5094633102,12.4613666534
2020-11-25 20:00:00,CAM,57.6730308533,8.23756790161,9.93133449554
2020-11-25 21:00:00,CAM,52.654712677,9.15963554382,7.68975687027
2020-11-25 22:00:00,CAM,51.4519195557,8.72262763977,4.64968109131
2020-11-25 23:00:00,CAM,44.6644477844,12.6475305557,4.49127292633
2020-11-26 00:00:00,CAM,31.1707496643,24.1537322998,6.79340028763
2020-11-26 01:00:00,CAM,19.7569961548,30.8168315887,7.81879854202
2020-11-26 02:00:00,CAM,1.46516537666,48.9296646118,15.4145965576
2020-11-26 03:00:00,CAM,1.24917328358,44.8009529114,13.0464982986
2020-11-26 04:00:00,CAM,7.01582956314,37.3154563904,10.0953035355
2020-11-26 05:00:00,CAM,16.6733818054,27.3117275238,8.32406997681
2020-11-26 06:00:00,CAM,20.9652824402,21.9714126587,9.20013904572
2020-11-26 07:00:00,CAM,20.8156261444,21.1568317413,11.6072273254
2020-11-26 08:00:00,CAM,21.3970584869,19.1234207153,12.5245161057
2020-11-26 09:00:00,CAM,17.6477394104,21.7967376709,17.0118980408
2020-11-26 10:00:00,CAM,6.30326557159,33.3689193726,22.8241539001
2020-11-26 11:00:00,CAM,0.816691756248,41.6735191345,25.1077899933
2020-11-26 12:00:00,CAM,0.0536212921143,47.6368560791,34.5403442383
2020-11-26 13:00:00,CAM,1.85998094082,49.7147598267,52.4984397888
2020-11-26 14:00:00,CAM,9.97340774536,43.5841293335,50.1998901367
2020-11-26 15:00:00,CAM,21.3779430389,37.3159790039,38.4453620911
2020-11-26 16:00:00,CAM,37.163394928,32.7925949097,26.6036605835
2020-11-26 17:00:00,CAM,56.0496330261,33.5949935913,21.0548782349
2020-11-26 18:00:00,CAM,82.5329666138,23.7852916718,26.7217121124
2020-11-26 19:00:00,CAM,80.5165481567,13.9807367325,18.5216255188
2020-11-26 20:00:00,CAM,69.2922973633,12.1713848114,14.1382522583
2020-11-26 21:00:00,CAM,59.331287384,9.04512119293,6.35965442657
2020-11-26 22:00:00,CAM,51.0141677856,9.62689590454,5.31120109558
2020-11-26 23:00:00,CAM,42.9513053894,14.4181842804,4.81558609009
2020-11-27 00:00:00,CAM,32.6134223938,23.7985229492,6.11526823044
2020-11-27 01:00:00,CAM,15.4907140732,37.8821029663,9.06875896454
2020-11-27 02:00:00,CAM,6.09566640854,54.3394508362,15.1576910019
2020-11-27 03:00:00,CAM,0.120551906526,49.2418441772,17.5039615631
2020-11-27 04:00:00,CAM,2.23163676262,43.7527885437,13.1271972656
2020-11-27 05:00:00,CAM,11.4001436234,33.5848808289,10.7629890442
2020-11-25 06:00:00,CCA,26.7868766785,19.2359218597,9.94466781616
2020-11-25 07:00:00,CCA,34.3675956726,10.8333940506,8.07363128662
2020-11-25 08:00:00,CCA,35.7013511658,8.26791381836,6.55542850494
2020-11-25 09:00:00,CCA,30.1385765076,12.4418144226,7.3625087738
2020-11-25 10:00:00,CCA,15.0230607986,26.1200065613,11.8074541092
2020-11-25 11:00:00,CCA,2.73192882538,39.0530166626,14.6634988785
2020-11-25 12:00:00,CCA,0.0256313048303,43.7126960754,19.9856033325
2020-11-25 13:00:00,CCA,2.14717674255,45.5232887268,23.3779907227
2020-11-25 14:00:00,CCA,11.2257394791,45.4189987183,23.0915336609
2020-11-25 15:00:00,CCA,24.5933361053,33.1432723999,13.431227684
2020-11-25 16:00:00,CCA,32.1767845154,27.3354873657,8.38439083099
2020-11-25 17:00:00,CCA,36.8575134277,27.4158611298,8.24975681305
2020-11-25 18:00:00,CCA,53.1067504883,28.8277282715,16.3814659119
2020-11-25 19:00:00,CCA,67.7825469971,23.8094463348,18.4283447266
2020-11-25 20:00:00,CCA,68.7489624023,16.8704586029,12.4173212051
2020-11-25 21:00:00,CCA,63.2987976074,13.6768627167,8.37032413483
2020-11-25 22:00:00,CCA,53.0784912109,14.9954328537,6.74800682068
2020-11-25 23:00:00,CCA,36.3713760376,22.9380245209,4.81605863571
2020-11-26 00:00:00,CCA,14.6199970245,41.0848350525,6.29023647308
2020-11-26 01:00:00,CCA,4.31268215179,48.5493812561,7.78153181076
2020-11-26 02:00:00,CCA,3.04472661018,46.1698799133,9.99373245239
2020-11-26 03:00:00,CCA,12.8924913406,33.2852745056,7.00372886658
2020-11-26 04:00:00,CCA,18.7713451385,27.5161590576,5.95584964752
2020-11-26 05:00:00,CCA,22.8084125519,22.4607772827,5.28690290451
2020-11-26 06:00:00,CCA,28.1911354065,16.3292999268,4.44589853287
2020-11-26 07:00:00,CCA,27.1471843719,16.4336147308,4.78006124496
2020-11-26 08:00:00,CCA,27.5793437958,14.8433027267,5.20428228378
2020-11-26 09:00:00,CCA,29.9041614532,11.9957532883,5.10742902756
2020-11-26 10:00:00,CCA,26.9784545898,15.1002969742,5.68891477585
2020-11-26 11:00:00,CCA,12.8855104446,30.8261585236,7.9387588501
2020-11-26 12:00:00,CCA,0.208320453763,46.3183059692,13.3850440979
2020-11-26 13:00:00,CCA,3.20912480354,44.6349067688,16.2616329193
2020-11-26 14:00:00,CCA,9.2491979599,46.0323371887,20.3086833954
2020-11-26 15:00:00,CCA,17.3038520813,46.7536354065,18.8213939667
2020-11-26 16:00:00,CCA,28.7646064758,42.8934631348,14.9037637711
2020-11-26 17:00:00,CCA,41.5545806885,30.5598926544,10.4010686874
2020-11-26 18:00:00,CCA,56.7458953857,31.5544681549,24.0484046936
2020-11-26 19:00:00,CCA,75.4255142212,32.7950668335,25.1330623627
2020-11-26 20:00:00,CCA,73.7194213867,21.2729358673,8.28386688232
2020-11-26 21:00:00,CCA,65.599937439,18.0609416962,5.2965669632
2020-11-26 22:00:00,CCA,52.4670257568,16.3589630127,4.39340543747
2020-11-26 23:00:00,CCA,38.3676490784,20.3333816528,4.44473695755
2020-11-27 00:00:00,CCA,23.278213501,33.6562080383,5.09620094299
2020-11-27 01:00:00,CCA,6.1510682106,54.6015586853,10.4288234711
2020-11-27 02:00:00,CCA,0.956774294376,51.1463127136,12.2213459015
2020-11-27 03:00:00,CCA,8.59543991089,40.6158981323,8.57444190979
2020-11-27 04:00:00,CCA,20.6267471313,26.9906406403,6.25322294235
2020-11-27 05:00:00,CCA,25.8002910614,21.288225174,5.90506124496
2020-11-25 06:00:00,CHO,1.50391662121,44.1645622253,14.7885360718
2020-11-25 07:00:00,CHO,2.34852743149,41.598526001,16.0973529816
2020-11-25 08:00:00,CHO,11.2414340973,30.5897254944,15.0713911057
2020-11-25 09:00:00,CHO,8.21886348724,32.2125053406,15.7615776062
2020-11-25 10:00:00,CHO,5.41558265686,34.097114563,16.8596363068
2020-11-25 11:00:00,CHO,8.7549533844,31.7952899933,18.2072277069
2020-11-25 12:00:00,CHO,1.14376437664,41.5017547607,20.2781791687
2020-11-25 13:00:00,CHO,4.50332689285,40.2977714539,24.0808029175
2020-11-25 14:00:00,CHO,16.1571540833,43.6726417542,33.9321327209
2020-11-25 15:00:00,CHO,28.1929702759,43.6058349609,35.0085258484
2020-11-25 16:00:00,CHO,38.8479804993,30.9092273712,17.893157959
2020-11-25 17:00:00,CHO,48.5830688477,10.2967214584,4.92941856384
2020-11-25 18:00:00,CHO,55.2788314819,4.38486146927,2.61285042763
2020-11-25 19:00:00,CHO,58.118019104,3.70852613449,2.24379920959
2020-11-25 20:00:00,CHO,55.1978721619,2.69717907906,1.70793557167
2020-11-25 21:00:00,CHO,52.2404937744,2.38842368126,1.59666144848
2020-11-25 22:00:00,CHO,50.0368881226,3.57400345802,1.81771528721
2020-11-25 23:00:00,CHO,46.1344985962,8.15252876282,2.96782851219
2020-11-26 00:00:00,CHO,77.266418457,6.21771621704,10.5349617004
2020-11-26 01:00:00,CHO,59.4971313477,4.0516166687,5.42804288864
2020-11-26 02:00:00,CHO,46.4826927185,6.89249324799,4.48326015472
2020-11-26 03:00:00,CHO,8.22626495361,42.0075187683,8.91612052917
2020-11-26 04:00:00,CHO,9.2156791687,35.0201034546,8.14164733887
2020-11-26 05:00:00,CHO,15.5180387497,26.9746780396,7.33834648132
2020-11-26 06:00:00,CHO,15.7571134567,25.8351554871,7.41029405594
2020-11-26 07:00:00,CHO,6.76157569885,34.0693588257,8.52467727661
2020-11-26 08:00:00,CHO,7.9336977005,32.2366027832,9.35718250275
2020-11-26 09:00:00,CHO,13.1465549469,26.8549995422,9.97294712067
2020-11-26 10:00:00,CHO,11.8680992126,27.2154273987,11.0309858322
2020-11-26 11:00:00,CHO,5.14424848557,33.6532402039,13.1496515274
2020-11-26 12:00:00,CHO,3.64292168617,35.6172218323,14.413028717
2020-11-26 13:00:00,CHO,5.70688915253,33.8229675293,17.8170986176
